HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
01046	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Botaurus	stellaris	Bittern	730	730								1324.5		11.3	450	wild	medium	acceptable						450,729,820
01047	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Bubulcus	ibis	Cattle egret	730	730	22		3	1		19.1		390	0.22	23	1	wild	medium	acceptable						1,444,445,448,729,732
01048	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Butorides	virescens	Green heron	730	730	20		4	1		16		175	0.208	11.6	576	wild	medium	acceptable						444,445,576,732
01049	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	caerulea	Little blue heron	365	365	23		4	1				339.5	0.258	13.9	576	wild	medium	acceptable						444,445,576,732,820
01050	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	garzetta	Little egret	365	365								312	0.248	22.3	450	wild	medium	acceptable						450,729,732,820
01051	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	rufescens	Reddish egret	1461	1461			3	1				614		22	972	wild	small	acceptable						444,445,820,972
01052	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	thula	Snowy egret	365	365	18		4	1		20		314		22.8	577	wild	medium	acceptable						444,445,577
01053	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	tricolor	Tricolored heron	669	669	21		4	1				309.9		17.7	576	wild	small	acceptable						444,445,576
01054	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ixobrychus	minutus	Little bittern	730	730								101		6.9	450	wild	medium	acceptable						450,729,820
01055	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Nycticorax	nycticorax	Black-crowned night heron	365	365	25		4	1		24.2		800		21.1	1	wild	medium	acceptable						1,438,444,445
01056	Animalia	Chordata	Aves	Pelecaniformes	Balaenicipitidae	Balaeniceps	rex	Shoebill										5984		35.7	575	captivity	small	acceptable						575,820
01057	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	crispus	Dalmatian pelican										9550		35.3	575	captivity	large	acceptable						575,820
01058	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	erythrorhynchos	American white pelican	1095	1095	36		2	1		110		6129		54	576	wild	medium	acceptable						444,445,576
01059	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	occidentalis	Brown pelican	365	730	29		3	1		63.5		3115.8	0.112	43	445	unknown	medium	acceptable						61,438,444,445,732
01060	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	onocrotalus	Great white pelican										9520		51	575	captivity	large	acceptable						575,820
01061	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Bostrychia	carunculata	Wattled ibis												12	649	captivity	small	acceptable						649
01062	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Bostrychia	hagedash	Hadada ibis										1238		16	649	captivity	small	acceptable						649,820
01063	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Bostrychia	rara	Spot-breasted ibis														unknown	small	low						649
01064	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Eudocimus	albus	White ibis	730	730	22		3	1		36.3		940	0.13	27.6	649	captivity	medium	acceptable						444,445,649,732
01065	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Eudocimus	ruber	Scarlet ibis			23		2					615		33.2	649	captivity	large	acceptable						444,649
01066	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	calvus	Bald ibis												15.3	649	captivity	medium	acceptable						649
01067	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Geronticus	eremita	Northern bald ibis										1202	0.237	32.9	649	captivity	large	acceptable						649,732,820
01068	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Nipponia	nippon	Crested ibis										1900		25.8	649	captivity	tiny	acceptable						649,820
01069	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Phimosus	infuscatus	Whispering ibis										559		20	649	captivity	small	acceptable						649,820
01070	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	ajaja	Roseate spoonbill	1095	1095	23		3	1		50		1036.97		28		unknown	medium	acceptable						61,438,444,445
01071	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	alba	African spoonbill										1521		17.9	649	captivity	small	acceptable						649,820
01072	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	flavipes	Yellow-billed spoonbill										1747.5		28.6	649	captivity	small	acceptable						649,820
01073	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	leucorodia	Eurasian spoonbill	1095	1095								1868	0.174	30.1	649	captivity	medium	acceptable						649,729,732,820
01074	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	minor	Black-faced spoonbill										1228		15	649	captivity	medium	acceptable						649,820
01075	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Plegadis	chihi	White-faced ibis	730	730	21		3.5	1		29.35		487.5		20.4	649	captivity	medium	acceptable						444,445,649
01076	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Plegadis	falcinellus	Glossy ibis	1095	1095	21		3	1		166		431.2		26.8	649	captivity	large	high						444,445,649,729
01077	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Plegadis	ridgwayi	Puna ibis										584		18	649	captivity	medium	acceptable						649,820
01078	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Pseudibis	papillosa	Black ibis												30	649	captivity	tiny	acceptable						649
01079	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Theristicus	caerulescens	Plumbeous ibis										1500				unknown	small	low						649,820
01080	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Theristicus	caudatus	Buff-necked ibis										1726		22	649	captivity	small	acceptable						649,820
01081	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Theristicus	melanopis	Black-faced ibis												34.5	649	captivity	medium	acceptable						649
01082	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Threskiornis	aethiopicus	Sacred ibis										1530		37	649	captivity	large	acceptable						61,649
01083	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Threskiornis	melanocephalus	Black-headed ibis												28.2	649	captivity	medium	acceptable						649
01084	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Threskiornis	molucca	Australian ibis										1806		33.2	649	captivity	small	acceptable						649,820
01085	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Threskiornis	spinicollis	Straw-necked ibis										1351.5		39.4	649	captivity	medium	acceptable						649,820
01086	Animalia	Chordata	Aves	Phaethontiformes	Phaethontidae	Phaethon	aethereus	Red-billed tropicbird			44		1					750		17.6	427	wild	medium	acceptable						427,444,820
01087	Animalia	Chordata	Aves	Phaethontiformes	Phaethontidae	Phaethon	rubricauda	Red-tailed tropicbird	274	274	45		1	1		54		593.2		32.7	427	wild	small	acceptable						427,444,445
01088	Animalia	Chordata	Aves	Phoenicopteriformes	Phoenicopteridae	Phoeniconaias	minor	Lesser flamingo										1500		41	991	wild	medium	acceptable						820,991
01089	Animalia	Chordata	Aves	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus	chilensis	Chilean flamingo										2277		36.7	600	captivity	large	acceptable						600,820
01090	Animalia	Chordata	Aves	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus	roseus	Greater flamingo	1825	1825	30		1					2500		44	1	captivity	large	acceptable						1,61,438,729
01091	Animalia	Chordata	Aves	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus	ruber	American flamingo										3065.8				unknown	medium	low						427,820,1143
01092	Animalia	Chordata	Aves	Piciformes	Picidae	Colaptes	auratus	Northern flicker	365	365	11		4	1		5.48		120		12.5	579	wild	small	acceptable						444,445,579
01093	Animalia	Chordata	Aves	Piciformes	Picidae	Dendrocopos	leucotos	White-backed woodpecker										117	0.323	15.9	450	wild	medium	acceptable						450,732,820
01094	Animalia	Chordata	Aves	Piciformes	Picidae	Dendrocopos	major	Great spotted woodpecker	365	365								75.1	0.402	12.7	450	wild	medium	acceptable						450,729,732,820
01095	Animalia	Chordata	Aves	Piciformes	Picidae	Dendrocopos	medius	Middle spotted woodpecker	365	365								59		8	729	wild	medium	acceptable						729,820
01096	Animalia	Chordata	Aves	Piciformes	Picidae	Dendrocopos	minor	Lesser spotted woodpecker	365	365								19.8		9.8	450	wild	medium	acceptable						450,729,820
01097	Animalia	Chordata	Aves	Piciformes	Picidae	Dendrocopos	syriacus	Syrian woodpecker										76.8		10.9	0450	wild	medium	acceptable						450,820
01098	Animalia	Chordata	Aves	Piciformes	Picidae	Dryocopus	martius	Black woodpecker	365	365								321	0.308	14	450	wild	medium	acceptable						450,729,732,820
01099	Animalia	Chordata	Aves	Piciformes	Picidae	Dryocopus	pileatus	Pileated woodpecker	354	365	18		4	1				364	0.276	13	427	wild	tiny	acceptable						427,444,445,732
01100	Animalia	Chordata	Aves	Piciformes	Picidae	Jynx	torquilla	Eurasian wryneck	365	365								35	0.373	10	729	wild	medium	acceptable						729,732,820
01101	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes	aurifrons	Golden-fronted woodpecker	365	365	13		4.5	2				81.63				unknown	small	low						444,445,579
01102	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes	carolinus	Red-bellied woodpecker	365	365	12		4	2		8		72.5		20.7		unknown	medium	acceptable						444,445
01103	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes	erythrocephalus	Red-headed woodpecker	365	365	14		5	2				75		10		unknown	medium	acceptable						444,445
01104	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes	formicivorus	Acorn woodpecker	694	766	14		4	2		4.7		79.7		17.2	427	wild	medium	acceptable			0.737	73		427,435,444,445,820
01105	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes	uropygialis	Gila woodpecker			14		4	2				65		11	427	wild	medium	acceptable						427,444,445
01106	Animalia	Chordata	Aves	Piciformes	Picidae	Picoides	borealis	Red-cockaded woodpecker	240	240	11		3	1		3.2		56		16.1	427	wild	medium	acceptable						427,437,444,445
01107	Animalia	Chordata	Aves	Piciformes	Picidae	Picoides	nuttallii	Nuttall's woodpecker										37.4		7.8	0427	wild	medium	acceptable						427,820
01108	Animalia	Chordata	Aves	Piciformes	Picidae	Picoides	pubescens	Downy woodpecker	365	365	12		5	1		1.67		25.6		11.9	427	wild	medium	acceptable			0.383	21.7		427,435,444,445,820
01109	Animalia	Chordata	Aves	Piciformes	Picidae	Picoides	scalaris	Ladder-backed woodpecker	365	365	13		4	1				30.3				unknown	small	low						444,445,579
01110	Animalia	Chordata	Aves	Piciformes	Picidae	Picoides	tridactylus	Eurasian three-toed woodpecker and three-toed woodpecker										65.7		11.2	450	wild	medium	acceptable						450,820
01111	Animalia	Chordata	Aves	Piciformes	Picidae	Picoides	villosus	Hairy woodpecker	365	365	14		4	1				62		15.9	427	wild	medium	acceptable						427,444,445
01112	Animalia	Chordata	Aves	Piciformes	Picidae	Picus	canus	Grey-faced woodpecker and grey-headed woodpecker										137	0.364			unknown	small	low						450,732,820
01113	Animalia	Chordata	Aves	Piciformes	Picidae	Picus	viridis	Eurasian green woodpecker	365	365								176		15.2	450	wild	medium	acceptable						450,729,820
01114	Animalia	Chordata	Aves	Piciformes	Picidae	Sphyrapicus	nuchalis	Red-naped sapsucker										48.5		4.9	0427	wild	medium	acceptable						427,820
01115	Animalia	Chordata	Aves	Piciformes	Picidae	Sphyrapicus	ruber	Red-breasted sapsucker										55		4.8	0427	wild	medium	acceptable						427,820
01116	Animalia	Chordata	Aves	Piciformes	Picidae	Sphyrapicus	varius	Yellow-bellied sapsucker	365	365	12		5	1		2.5		45		7.8	427	wild	medium	acceptable						427,444,445
01117	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	toco	Toco toucan			16							540		16.2	986	captivity	medium	acceptable						986
01118	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Aechmophorus	occidentalis	Western grebe	365	365	23		3			30.7		1475.5		14	1	wild	small	acceptable						1,444,445,977
01119	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	auritus	Horned grebe	365	365	24		6	1		17		485				unknown	small	low						444,445,450,972
01120	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	cristatus	Great crested grebe	730	730								738.7		19.2	450	wild	medium	acceptable						450,729,820
01121	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	grisegena	Red-necked grebe	365	365	22		4.5	1				1100		11	427	wild	small	questionable						427,444,445
01122	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	nigricollis	Eared grebe	730	730	21		3					392		13.1	450	wild	small	acceptable						444,445,450
01123	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Podilymbus	podiceps	Pied-billed grebe	365	365	23		6.23			14.9		430				unknown	tiny	low						445
01124	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Tachybaptus	ruficollis	Little grebe	365	365								174		17.5	450	wild	medium	acceptable						450,729,820
01125	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Diomedea	epomophora	Royal albatross										9000	0.026	58	1	wild	medium	acceptable						1,436,732,820,952
01126	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Diomedea	exulans	Wandering albatross										7046.7	0.031	50	952	wild	medium	acceptable			20.3649	8130		435,732,820,952,1143,1160
01127	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Phoebastria	albatrus	Short-tailed albatross										4411				unknown	small	low						427,820
01128	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Phoebastria	immutabilis	Laysan albatross	3141	3068	64		1	1		167.2		3150		65	718	wild	large	acceptable			7.462	2522		435,445,718,820
01129	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Phoebastria	irrorata	Waved albatross										3395		40	1	wild	medium	acceptable						1,820
01130	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Phoebastria	nigripes	Black-footed albatross	1825	1825	65		1	1		182.5		2800		42.1	427	wild	large	acceptable						427,445,977
01131	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	chlororhynchos	Yellow-nosed albatross										3890	0.081	37	1	wild	medium	acceptable						1,732,972
01132	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	chrysostoma	Grey-headed albatross										3753	0.068	47.2	427	wild	medium	acceptable			8.5312	3753		427,435,732,1143
01133	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	melanophris	Black-browed albatross										3232	0.068	43.7	427	wild	medium	acceptable						427,732,820,1124
01134	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Hydrobates	pelagicus	European storm petrel	1095	1095	35		1					25.2		33.8	553	wild	medium	acceptable						444,553,729,820
01135	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Oceanodroma	castro	Harcourt's storm petrel	1826	1826	42		1	1		7.5		42	0.117	36	972	wild	medium	acceptable						444,445,732,972
01136	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Oceanodroma	furcata	Fork-tailed storm petrel	1095	1095	52		1	1				45.2	0.119	18	427	wild	small	questionable						427,444,445,732
01137	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Oceanodroma	homochroa	Ashy storm-petrel										36.9		31	977	wild	small	acceptable						820,977
01138	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Oceanodroma	leucorhoa	Leach's storm petrel	1826	1826	41		1	1		4.2		44.6	0.092	36	1	wild	medium	acceptable						1,432,444,445,732,751,779,1143
01139	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Oceanodroma	tristrami	Sooty storm petrel	1825	1825	45							87				unknown	small	low						445,576,977
01140	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Bulweria	bulwerii	Bulwer's petrel	1461	1461	44		1	1		16.9		99		22.9	818	wild	small	acceptable			0.513975	87		425,445,818,820
01141	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Calonectris	diomedea	Cory's shearwater	1095	1095								535		24.8	450	wild	medium	acceptable						450,729,820
01142	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Daption	capense	Cape petrel										408.6	0.17	25	427	wild	medium	acceptable						427,444,732
01143	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Fulmarus	glacialis	Northern fulmar	2200	2200	55		1	1		65		908	0.121	51	Paul Thompson, pers. comm.	wild	medium	acceptable						2,23,444,445,732,1143
01144	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Fulmarus	glacialoides	Southern fulmar										795		45	919	wild	medium	acceptable						820,919,1150
01145	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Macronectes	giganteus	Southern giant petrel										3697.5		47	1157	wild	small	acceptable						427,820,1157
01146	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pagodroma	nivea	Snow petrel										268	0.183	46	919	wild	medium	acceptable						732,820,919,1143
01147	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Procellaria	parkinsoni	Black petrel										702.5		17	1	wild	medium	acceptable						1,820
01148	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	alba	Phoenix petrel										259		11.3	576	wild	medium	acceptable						576,820
01149	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	hypoleuca	Bonin Island petrel			49		1	1		7.7		168.6	0.091	30.8	427	wild	medium	acceptable						427,445,732
01150	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	leucoptera	Gould's petrel										147.5		20	1	wild	medium	acceptable						1,820
01151	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	phaeopygia	Darked-rump petrel			55		1	1				425	0.082			unknown	small	low						445,576,732
01152	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	sandwichensis	Hawaiian petrel										434		13.1	0427	wild	medium	acceptable						427,820
01153	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	carneipes	Flesh-footed shearwater										690		30.2	972	wild	medium	acceptable						972
01154	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	griseus	Sooty shearwater										740		34	952	unknown	medium	acceptable						952
01155	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	lherminieri	Audobon's shearwater			51		1					130				unknown	small	low						1,444
01156	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	mauretanicus	Balearic shearwater										497				unknown	small	low						450,820
01157	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	nativitatis	Christmas Island shearwater	1461	1461	51		1	1		36.7		356				unknown	small	low			1.48808	307.6		425,427,445,576,820
01158	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	pacificus	Wedge-tailed shearwater	1461	1461	53		1	1		39		337.8	0.069	29	427	wild	medium	acceptable						427,445,732
01159	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	puffinus	Manx shearwater	1825	1643	51		1	1		45		434		50.9	450	wild	medium	acceptable						444,445,450,729
01160	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	tenuirostris	Short-tailed shearwater			53		1					499.4		39.9	972	wild	medium	acceptable						444,972,1143
01162	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	fischeri	Fischer's lovebird										48.3		12.6	669	captivity	large	questionable						600,669,820,979
01163	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	lilianae	Nyasa loverbird										37.3		19.2	669	captivity	medium	acceptable						669,820
01164	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	pullarius	Red-headed lovebird										43		18	575	captivity	small	acceptable						575,669
01165	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	roseicollis	Rosy-faced lovebird	150	150	23		5					54.8				unknown	medium	low						979,988,989
01166	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	taranta	Black-winged lovebird										57.5		14.6	669	captivity	tiny	acceptable						669,820,979
01167	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Alisterus	scapularis	Australian king parrot										232.5		26.6	669	captivity	medium	acceptable						669,820,979
01168	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	aestiva	Blue-fronted amazon										451	0.181	49	669	captivity	large	acceptable						669,732,820
01169	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	albifrons	White-fronted parrot										215		25.3	669	captivity	medium	acceptable						669
01170	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	amazonica	Orange-winged amazon										370		30	575	captivity	medium	acceptable						575,669,820
01171	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	auropalliata	Yellow-naped parrot												49	575	captivity	medium	acceptable						575,979
01172	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	autumnalis	Red-lored parrot										416		27	669	captivity	medium	acceptable						669,820
01173	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	barbadensis	Yellow-shouldered amazon										270				unknown	medium	low						820,979
01174	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	farinosa	Mealy parrot										626				unknown	medium	low						820,979
01175	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	festiva	Festive amazon										430		24.5	669	captivity	medium	acceptable						669,820
01176	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	finschi	Lilac-crowned parrot										302	0.186	25.8	669	captivity	medium	acceptable						669,732,820
01177	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	guildingii	St. Vincent parrot										646		28	669	captivity	small	acceptable						669,820
01178	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	leucocephala	Cuban parrot										235.5				unknown	medium	low						820,979
01179	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	ochrocephala	Yellow-crowned parrot										430	0.158	56	669	captivity	medium	acceptable						669,732
01180	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	oratrix	Yellow-headed parrot										517				unknown	medium	low						820,979
01181	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	rhodocorytha	Red-browed parrot												44	669	captivity	medium	acceptable						669
01182	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	versicolor	St. Lucia amazon										676				unknown	medium	low						820,979
01183	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	viridigenalis	Red-crowned parrot										316				unknown	medium	low						820,979
01184	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	vittata	Puerto Rican amazon														unknown	small	low						669,979
01185	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Anodorhynchus	glaucus	Glaucous macaw														unknown	small	low						669
01186	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Anodorhynchus	hyacinthinus	Hyacinth macaw										1330		38.8	669	captivity	tiny	acceptable						669,979
01187	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Anodorhynchus	leari	Lear's macaw										940		38.3	669	captivity	small	acceptable						669,820
01188	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aprosmictus	erythropterus	Red-winged parrot										136		24.4	669	captivity	medium	acceptable						669,820,979
01189	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	ambiguus	Great green macaw										1300	0.119	29	669	captivity	small	acceptable						669,732,820
01190	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	ararauna	Blue-and-yellow macaw										1030	0.126	43	575	captivity	large	acceptable						575,669,732,979
01191	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	chloropterus	Red-and-green macaw			28		2.5					1220	0.112	50.1	669	captivity	small	acceptable						669,732,979
01192	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	glaucogularis	Blue-throated macaw										784		22	669	captivity	medium	acceptable						669,820,979
01193	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	macao	Scarlet macaw										1040	0.12	33	669	captivity	large	acceptable						575,669,732,979,986
01194	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	militaris	Military macaw										1134	0.12	46	669	captivity	large	acceptable						669,732,820,979
01195	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	rubrogenys	Red-fronted macaw										470	0.13	23	669	captivity	medium	acceptable						669,732,979
01196	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	severus	Chestnut-fronted macaw										343		28.5	669	captivity	small	acceptable						669,820
01197	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	acuticaudata	Blue-crowned parakeet										171		31	669	captivity	medium	acceptable						669,820
01198	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	auricapillus	Golden-capped parakeet										130		20.9	669	captivity	small	acceptable						669,820
01199	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	canicularis	Orange-fronted parakeet										85		16.2	669	captivity	small	acceptable						669,820,979
01200	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	chloroptera	Hispaniolan parakeet										146				unknown	medium	low						820,979
01201	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	erythrogenys	Red-masked parakeet										151		26.2	669	captivity	small	acceptable						669,820
01202	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	holochlora	Green parakeet										138		21.8	669	captivity	medium	acceptable						669,820
01203	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Barnardius	zonarius	Port Lincoln ringneck										150		17.9	669	captivity	small	acceptable			0.718	137		435,669,979
01204	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Bolborhynchus	orbygnesius	Andean parakeet										43.1		9.2	669	captivity	small	acceptable						669,820
01205	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	chiriri	Yellow-chevroned parakeet			26		5					61.6		19	669	captivity	small	acceptable						445,669
01206	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	pyrrhoptera	Grey-cheeked parakeet										64		11.3	669	captivity	small	acceptable						669,820
01207	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	sanctithomae	Tui parakeet										59		13.2	669	captivity	small	acceptable						669,820
01208	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	tirica	Plain parakeet										63		11	669	captivity	small	acceptable						669
01209	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	versicolurus	Canary-winged parakeet	730	730	25		5	1				71.6		10.3	669	captivity	small	acceptable						445,669,979
01210	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	alba	White cockatoo	2000	2000	30		2					570	0.13	26.9	669	captivity	medium	acceptable						669,670,732
01211	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	ducorpsii	Ducorps's cockatoo										394		30.5	669	captivity	small	acceptable						669,820,979
01212	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	galerita	Sulphur-crested cockatoo			27		2					800		57	669	captivity	large	acceptable			3.419	776.1		435,491,669,979
01213	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	goffiniana	Tanimbar cockatoo										275		26	website feedback	captivity	small	questionable						669,820
